Sabor,Tamaño,Precio,Ventas
Piña,Mediano,11827,92
Mora,Grande,8013,96
Limón,Mediano,11644,120
Mora,Mediano,11188,166
Limón,Pequeño,10104,132
Fresa,Grande,8884,179
Mora,Grande,8520,27
Fresa,Pequeño,5006,167
Mango,Grande,6673,49
Fresa,Mediano,7580,88
Mora,Pequeño,9952,74
Fresa,Pequeño,7045,42
Piña,Pequeño,7412,124
Mora,Pequeño,6536,195
Fresa,Pequeño,9710,155
Mango,Pequeño,8174,91
Piña,Grande,10344,61
Fresa,Pequeño,8850,38
Piña,Pequeño,7481,197
Fresa,Pequeño,5597,109
Mora,Pequeño,9144,194
Limón,Grande,9874,134
Fresa,Grande,6025,120
Mora,Pequeño,7561,28
Fresa,Grande,6504,144
Fresa,Grande,7342,104
Fresa,Pequeño,10710,198
Limón,Mediano,11090,151
Mango,Pequeño,7810,159
Piña,Pequeño,11765,101
Mango,Mediano,10498,187
Fresa,Mediano,6224,184
Piña,Mediano,9403,182
Fresa,Grande,5544,34
Limón,Mediano,7923,138
Piña,Mediano,11962,100
Limón,Grande,8514,143
Piña,Mediano,10569,82
Mango,Grande,8818,87
Mora,Pequeño,7925,107
Fresa,Grande,6334,168
Piña,Pequeño,7498,89
Piña,Grande,10183,40
Fresa,Pequeño,9080,22
Limón,Mediano,10460,169
Fresa,Grande,9471,30
Limón,Grande,9472,198
Piña,Mediano,11456,136
Fresa,Pequeño,6034,79
Limón,Pequeño,10509,26
Fresa,Pequeño,5276,92
Mango,Grande,5870,125
Mango,Pequeño,5105,181
Piña,Grande,8350,126
Fresa,Pequeño,5181,30
Mora,Mediano,11969,131
Mora,Pequeño,8532,192
Mora,Pequeño,10288,66
Mango,Grande,6943,43
Piña,Pequeño,7047,146
Piña,Grande,5008,53
Limón,Grande,6992,77
Mora,Pequeño,10626,106
Mango,Grande,11125,43
Piña,Pequeño,9357,173
Limón,Mediano,5766,27
Limón,Mediano,10841,101
Piña,Mediano,9416,159
Limón,Mediano,11426,68
Limón,Mediano,6346,130
Mora,Mediano,6012,30
Mango,Pequeño,9870,84
Fresa,Pequeño,5942,52
Piña,Mediano,7341,135
Mango,Mediano,10080,165
Piña,Mediano,7896,138
Fresa,Grande,10575,193
Mango,Grande,11565,197
Mora,Grande,10418,52
Mora,Pequeño,8816,21
Mango,Mediano,6366,178
Piña,Grande,6998,143
Fresa,Mediano,10319,119
Limón,Pequeño,8075,25
Piña,Pequeño,10103,165
Fresa,Mediano,10127,163
Piña,Grande,10136,119
Limón,Mediano,10646,174
Fresa,Grande,11960,154
Piña,Pequeño,10107,179
Mango,Mediano,11655,126
Mango,Grande,8326,106
Piña,Mediano,8501,112
Fresa,Pequeño,6277,145
Fresa,Pequeño,6430,34
Mora,Grande,9314,145
Piña,Pequeño,10267,127
Mora,Grande,10621,79
Piña,Grande,8166,148
Mora,Grande,8674,107
